Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
סוזוקי גרנד ויטרה,4,2012,"70,000₪",2393,"219,000",בנזין,אוטומט,כסוףמטאלי
מרצדס A-Class,1,2021,2850₪לחודש,1332,"5,000",בנזין,אוטומט,שחורמטאלי
מיצובישי לנסר הדור החדש,4,2008,"12,800₪",1798,"280,000",בנזין,אוטומט,ברונזהמטאלי
פולקסווגן ג'טה,2,2014,"29,500₪",1197,"153,000",בנזין,אוטומט,שחור
יונדאי i10,1,2016,"44,900₪",1248,"106,000",בנזין,אוטומט,כסוף
ג'יפ / Jeep גרנד צ'ירוקי,0,2021,"405,000₪",3604,,בנזין,אוטומט,לבןפנינה
מיצובישי אאוטלנדר,4,2016,"110,000₪",1998,"60,000",בנזין,אוטומט,שחורמטאלי
ב.מ.וו סדרה 3,2,2018,"129,900₪",1499,"75,000",בנזין,אוטומט,לבן
רנו פלואנס,2,2017,"55,000₪",1461,"122,000",דיזל,אוטומט,ברונזהמטאלי
ב.מ.וו X4,1,2021,לאצויןמחיר,1998,"3,500",בנזין,אוטומט,כסוףמטאלי
רנו קנגוהחדשה,1,2019,"97,500₪",1461,"42,000",דיזל,אוטומט,לבןמטאלי
מרצדס A-Class,0,2021,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,לבן
קיה סיד / CEED,2,2016,1100₪לחודש,1591,"105,000",בנזין,אוטומט,כסוףמטאלי
ניסאן אקס טרייל,1,2020,"165,000₪",1749,"17,000",דיזל,אוטומט,שחורמטאלי
סקודה אוקטביה ספייס,2,2015,"39,900₪",1197,"189,000",בנזין,אוטומט,לבן
מאזדה 2,2,2019,"73,000₪",1496,"76,000",בנזין,אוטומט,שחור
רנו קליאו דור 4 (2013-2019),2,2018,"59,000₪",1197,"58,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 3 קופה / קבריולט,8,2009,לאצויןמחיר,2979,"155,000",בנזין,אוטומט,לבןמטאלי
אאודי A7,1,2021,"475,000₪",1984,"7,000",היברידיחשמל/בנזין,אוטומט,שחור
מרצדס S-Class,1,2019,"617,000₪",2996,"52,000",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
פולקסווגן פאסאט,2,2018,"129,500₪",1798,"102,000",בנזין,אוטומט,לבןפנינה
טויוטה אוריס הייבריד,1,2016,"67,000₪",1798,"132,292",בנזין,אוטומט,כחולכההמטאלי
פיג'ו 508,2,2011,"13,000₪",1598,"170,000",בנזין,אוטומט,כחול
יונדאי i30,3,2013,"35,500₪",1591,"179,000",בנזין,אוטומט,שחורמטאלי
פיג'ו RCZ,5,2012,"58,100₪",1598,"134,000",בנזין,ידנית,אפורמטאלי
אאודי A7,2,2017,"265,000₪",2995,"96,000",בנזין,אוטומט,שחור
סיטרואן C5,1,2012,"26,000₪",1598,"184,000",בנזין,אוטומט,כסוףמטאלי
פולקסווגן ג'טה,2,2015,"36,000₪",1197,"135,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 1,1,2017,"87,000₪",1499,"123,000",בנזין,אוטומט,לבן
ב.מ.וו סדרה 3,4,2008,"50,000₪",2497,"147,000",בנזין,אוטומט,אפורמטאלי
ניסאן ג'וק / Juke,1,2019,"101,000₪",1598,"21,000",בנזין,אוטומט,אפורעכבר
אאודי A6,1,2011,"65,000₪",2995,"225,000",בנזין,אוטומט,אפורמטאלי
סקודה סופרב (עד 2019) ,2,2017,"134,900₪",1984,"144,000",בנזין,אוטומט,לבן
קיה אופטימה / Optima,2,2018,לאצויןמחיר,1999,"96,000",בנזין,אוטומט,אפור
רנו מגאן גראנד קופה,2,2018,"89,000₪",1461,"50,000",דיזל,אוטומט,לבןפנינה
רנו קנגוהחדשה,1,2017,"54,000₪",1461,"137,000",דיזל,ידנית,כסףמטלי
וולוו XC60,1,2018,לאצויןמחיר,1969,"62,000",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
רנו קדגא'ר,1,2018,"81,000₪",1461,"180,000",דיזל,אוטומט,אפורמטאלי
אלפא רומיאו ג'וליה,2,2018,"121,000₪",1995,"106,500",בנזין,אוטומט,לבן
קיה פיקנטו,1,2020,"75,800₪",1248,"16,500",בנזין,אוטומט,שחורמטאלי
רנו מגאן גראנד קופה,2,2017,"82,900₪",1461,"89,000",דיזל,אוטומט,כחולכההמטאלי
יונדאי i10,2,2018,"51,900₪",1248,"99,000",בנזין,אוטומט,לבןמטאלי
איסוזו 4X4 D-MAX,1,2015,לאצויןמחיר,2499,"250,000",דיזל,אוטומט,לבן
וולוו XC60,1,2016,"145,000₪",2963,"57,000",בנזין,אוטומט,לבןפנינה
מאזדה CX-5,2,2015,לאצויןמחיר,1998,"158,000",בנזין,אוטומט,אפורמטאלי
מיצובישי ספייס סטאר,1,2021,"68,999₪",1193,"7,800",בנזין,אוטומט,לבןפנינה
פולקסווגן פולו,3,2014,לאצויןמחיר,1197,"103,000",בנזין,אוטומט,אדום
פיאט 500,4,2010,"19,900₪",1368,"177,000",בנזין,רובוטית,לבן
הונדה ג'אז ,3,2009,"16,500₪",1339,"218,000",בנזין,רובוטית,תכלתמטאלי
טויוטה אוריס הייבריד,1,2016,"70,000₪",1798,"158,000",בנזין,אוטומט,כחולמטאלי
רנו קליאו דור 4 (2013-2019),1,2015,"47,000₪",1197,"63,000",בנזין,אוטומט,כחולבהירמטאלי
סובארו XV,1,2017,"90,000₪",1600,"32,000",בנזין,אוטומט,לבן
ניסאן מיקרה,2,2016,"23,000₪",1198,"174,000",בנזין,ידנית,אפורמטאלי
סקודה ראפיד,3,2015,"40,000₪",1598,"250,000",דיזל,ידנית,לבן
ב.מ.וו סדרה 2,1,2017,לאצויןמחיר,2998,"84,000",בנזין,אוטומט,שחורמטאלי
ב.מ.וו סדרה 3,2,2017,"162,200₪",1998,"78,406",היברידיחשמל/בנזין,אוטומט,שמפניה
פולקסווגן ג'טה,2,2012,לאצויןמחיר,1390,"189,000",בנזין,אוטומט,שחור
ניסאן 370Z,1,2014,לאצויןמחיר,3696,"83,000",בנזין,ידנית,שחורמטאלי
מרצדס E-Class,1,2020,"350,000₪",1991,"20,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 7,1,2019,"380,000₪",1998,"65,000",היברידיחשמל/בנזין,אוטומט,לבן
יונדאי סונטה,3,2007,"16,000₪",2359,"305,000",בנזין,אוטומט,כחולכההמטאלי
ב.מ.וו סדרה 3,2,2021,"300,000₪",1998,"1,552",היברידיחשמל/בנזין,אוטומט,לבן
יונדאי סונטה הייבריד,1,2021,"190,000₪",1999,"2,500",בנזין,אוטומט,לבןפנינה
רנו קליאו דור 4 (2013-2019),2,2015,"74,990₪",1618,"100,000",בנזין,אוטומט,כסוףמטאלי
סיאט לאון,1,2017,"130,000₪",1798,"90,000",בנזין,אוטומט,לבן
פורד פוקוס,2,2013,"18,000₪",1596,"174,000",בנזין,אוטומט,כסוף
ב.מ.וו M3,6,2019,לאצויןמחיר,2979,"49,000",בנזין,אוטומט,לבןשנהב
מרצדס S-Class,4,2014,"249,900₪",3498,"200,000",בנזין,אוטומט,כסוף
מרצדס SL,1,2016,"465,000₪",4663,"60,000",בנזין,אוטומט,לבן
סוזוקי גרנד ויטרה,4,2012,"70,000₪",2393,"219,000",בנזין,אוטומט,כסוףמטאלי
מרצדס A-Class,1,2021,2850₪לחודש,1332,"5,000",בנזין,אוטומט,שחורמטאלי
מיצובישי לנסר הדור החדש,4,2008,"12,800₪",1798,"280,000",בנזין,אוטומט,ברונזהמטאלי
פולקסווגן ג'טה,2,2014,"29,500₪",1197,"153,000",בנזין,אוטומט,שחור
יונדאי i10,1,2016,"44,900₪",1248,"106,000",בנזין,אוטומט,כסוף
ג'יפ / Jeep גרנד צ'ירוקי,0,2021,"405,000₪",3604,,בנזין,אוטומט,לבןפנינה
מיצובישי אאוטלנדר,4,2016,"110,000₪",1998,"60,000",בנזין,אוטומט,שחורמטאלי
ב.מ.וו סדרה 3,2,2018,"129,900₪",1499,"75,000",בנזין,אוטומט,לבן
רנו פלואנס,2,2017,"55,000₪",1461,"122,000",דיזל,אוטומט,ברונזהמטאלי
ב.מ.וו X4,1,2021,לאצויןמחיר,1998,"3,500",בנזין,אוטומט,כסוףמטאלי
רנו קנגוהחדשה,1,2019,"97,500₪",1461,"42,000",דיזל,אוטומט,לבןמטאלי
מרצדס A-Class,0,2021,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,לבן
קיה סיד / CEED,2,2016,1100₪לחודש,1591,"105,000",בנזין,אוטומט,כסוףמטאלי
וולוו S60,3,2017,"175,000₪",1969,"86,000",בנזין,אוטומט,שחורמטאלי
שברולט אורלנדו,3,2014,"36,000₪",1998,"204,000",דיזל,אוטומט,לבן
סקודה סופרב (עד 2019) ,2,2015,"90,000₪",1798,"162,000",בנזין,אוטומט,אפורמטאלי
פורד מוסטנג,1,2020,"320,000₪",2261,"23,000",בנזין,אוטומט,כחולמטאלי
פיג'ו 508,2,2016,"53,000₪",1598,"126,000",בנזין,אוטומט,כסוףמטאלי
יונדאי סונטה הייבריד,1,2016,"106,000₪",1999,"66,000",בנזין,אוטומט,לבןפנינה
יונדאי סונטה הייבריד,2,2018,"120,000₪",1999,"45,000",בנזין,אוטומט,שחורמטאלי
פולקסווגן פולו,2,2016,לאצויןמחיר,1197,"138,900",בנזין,ידנית,שחורמטאלי
טויוטה קורולה,3,2015,"69,950₪",1598,"98,000",בנזין,אוטומט,לבן
מאזדה 3,2,2009,"15,000₪",1598,"340,000",בנזין,אוטומט,כסוף
אופל אסטרה,2,2017,"54,000₪",1399,"80,000",בנזין,אוטומט,אפורמטאלי
ב.מ.וו סדרה 1,5,2012,"45,000₪",1598,"140,000",בנזין,אוטומט,אפור
מרצדס E-Class,4,2010,"75,000₪",2987,"325,000",דיזל,אוטומט,לבןפנינה
סקודה אוקטביה,2,2015,"39,000₪",1197,"177,000",בנזין,אוטומט,ברונזה
סקודה אוקטביה,1,2014,"46,000₪",1197,"199,000",בנזין,אוטומט,כסוףמטאלי
מאזדה 6,1,2021,"190,000₪",2488,"16,000",בנזין,אוטומט,לבןמטאלי
טויוטה קאמרי,2,2010,לאצויןמחיר,2362,"110,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,2,2017,"55,000₪",1197,"115,000",בנזין,אוטומט,שחורמטאלי
פיאט דוקאטו ארוך,1,2017,לאצויןמחיר,2287,"125,000",טורבודיזל,ידנית,לבן
רנו מאסטר קצר/בינוני,1,2019,2500₪לחודש,2299,"118,000",דיזל,ידנית,לבן
סקודה סופרב (עד 2019) ,2,2014,"40,000₪",1798,"133,000",בנזין,אוטומט,
מרצדס CLA,0,2021,"309,000₪",1332,,היברידיחשמל/בנזין,אוטומט,שמפניה
אופל אדם,2,2018,"52,000₪",1398,"67,000",בנזין,אוטומט,אפורמטאלי
קיה קרניבל,4,2008,"20,000₪",2656,"300,000",בנזין,אוטומט,כסוף
לנד רובר ריינג' רובר איווק,0,2020,"299,000₪",1997,,בנזין,אוטומט,שחור
אאודי Q7,2,2010,"79,900₪",2967,"165,000",דיזל,אוטומט,לבן
מיצובישי טרייטון / L200 4X4,1,2021,לאצויןמחיר,2442,,טורבודיזל,אוטומט,לבן
שברולט אורלנדו,1,2017,"69,000₪",1362,"84,000",בנזין,אוטומט,כסוף
דייהטסו סיריון,2,2009,550₪לחודש,1298,"116,000",בנזין,אוטומט,תכלתמטאלי
דייהטסו סיריון,3,2010,"16,500₪",1298,"180,000",בנזין,אוטומט,שחורמטאלי
מיצובישי אאוטלנדר,1,2017,"103,900₪",1998,"86,000",בנזין,אוטומט,לבן
יונדאי סנטה פה,2,2019,לאצויןמחיר,2151,1,דיזל,אוטומט,כסוף
רנו קדגא'ר,1,2016,"59,900₪",1461,"160,000",דיזל,אוטומט,אפורמטאלי
לנד רובר ריינג' רובר איווק,0,2022,לאצויןמחיר,1498,,היברידיחשמל/בנזין,אוטומט,שחור
פיאט דובלו,1,2016,"35,000₪",1248,"126,000",דיזל,ידנית,לבן
מרצדס E-Class,1,2021,לאצויןמחיר,1991,"12,000",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
מרצדס S-Class,2,2018,לאצויןמחיר,3982,"45,000",בנזין,אוטומט,לבן
סיאט איביזה,3,2015,"35,000₪",1197,"127,000",בנזין,ידנית,שחורמטאלי
רנו קליאו אסטייט,2,2015,"26,900₪",1197,"162,000",בנזין,אוטומט,לבן
שברולט קאמארו,1,2020,"315,000₪",3638,"38,000",בנזין,אוטומט,אפור
פולקסווגן פאסאט,1,2020,לאצויןמחיר,1984,"19,000",בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,2,2011,"31,900₪",1598,"113,000",בנזין,אוטומט,לבן
קיה קרניבל,1,2018,לאצויןמחיר,3342,"23,000",בנזין,אוטומט,שחורמטאלי
ב.מ.וו M5,1,2020,"980,000₪",4395,"28,000",בנזין,אוטומט,כחולכההמטאלי
יונדאי i20,3,2010,"22,500₪",1591,"170,000",בנזין,ידנית,שחור
ב.מ.וו סדרה 5,2,2020,"338,000₪",1998,"33,000",היברידיחשמל/בנזין,אוטומט,לבן
יונדאי סונטה הייבריד,2,2016,"83,000₪",1999,"120,000",בנזין,אוטומט,שחור
סיאט לאון,1,2018,"100,000₪",1395,"85,000",בנזין,אוטומט,אדוםמטאלי
ניסאן ג'וק / Juke,2,2013,"41,000₪",1598,"113,000",בנזין,אוטומט,אפורמטאלי
רנו מגאן דור 2 (2004-2010),3,2007,"8,000₪",1598,"130,000",בנזין,אוטומט,אפורעכבר
אלפא רומיאו ג'וליה,2,2017,"149,000₪",1995,"109,000",בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,2,2013,"30,000₪",1598,"226,000",בנזין,אוטומט,לבן
סיאט ארונה,2,2020,"98,500₪",999,"21,000",בנזין,DSG,לבןשנהב
מרצדס E-Class,0,2022,"439,900₪",1991,,היברידיחשמל/בנזין,אוטומט,לבןמטאלי
מאזדה 3,3,2009,"20,000₪",1598,,,,
ב.מ.וו X3,1,2018,"255,000₪",1998,"37,150",בנזין,אוטומט,לבןפנינה
אלפא רומיאו ג'וליה,2,2018,"121,000₪",1995,"106,500",בנזין,אוטומט,לבן
סובארו B3 האצ'בק,2,2009,לאצויןמחיר,1498,"152,000",בנזין,אוטומט,לבןפנינה
טויוטה ספייס ורסו,2,2016,"44,000₪",1329,"97,000",בנזין,אוטומט,סגולמטאלי
פורד אדג' / EDGE,2,2017,"145,000₪",1999,"79,000",בנזין,אוטומט,לבןפנינה
פולקסווגן טרנספורטר מסחרי/נוסעים,1,2015,לאצויןמחיר,1968,"146,000",דיזל,אוטומט,לבן
מרצדס GLA,1,2019,"215,000₪",1595,"45,153",בנזין,אוטומט,שחור
מרצדס E-Class,1,2020,"349,000₪",1991,"30,000",היברידיחשמל/בנזין,אוטומט,שחור
טויוטה קורולה,1,2018,"95,000₪",1598,"37,000",בנזין,אוטומט,כסוףמטאלי
מאזדה 3,2,2011,"25,800₪",1598,"147,000",בנזין,אוטומט,כסוףמטאלי
מרצדס GLS Class,1,2021,"650,000₪",2999,"25,000",בנזין,אוטומט,לבןפנינה
יונדאי טוסון,2,2020,2150₪לחודש,1999,"45,000",בנזין,אוטומט,כסוףמטאלי
מיצובישי אאוטלנדר,1,2017,לאצויןמחיר,1998,"56,000",בנזין,אוטומט,לבןפנינה
פיג'ו בוקסר,1,2019,לאצויןמחיר,1997,"58,000",טורבודיזל,ידנית,לבןפנינה
טויוטה היילקס ויגו 4X4,2,2012,"115,000₪",2494,"390,500",דיזל,ידנית,לבן
טויוטה קורולה,1,2017,"78,000₪",1598,"120,000",בנזין,אוטומט,לבן
סקודה סופרב (עד 2019) ,1,2018,"135,000₪",1395,"31,000",בנזין,אוטומט,אפורמטאלי
ניסאן מקסימה,1,2017,"120,000₪",3498,"82,000",בנזין,אוטומט,לבן
רנו פלואנס,2,2015,"35,900₪",1461,"180,000",דיזל,אוטומט,אפורמטאלי
פיג'ו 3008,1,2017,"94,000₪",1560,"126,000",דיזל,אוטומט,אפורמטאלי
טויוטה יאריס,2,2012,"31,900₪",1329,"149,000",בנזין,אוטומט,תכלתמטאלי
וולוו S60,2,2010,"23,000₪",2435,"195,000",בנזין,אוטומט,לבןמטאלי
מרצדס C-Class,1,2018,"220,000₪",1991,"68,000",בנזין,אוטומט,לבן
סוזוקי סוויפט,4,2008,"19,000₪",1490,"180,000",בנזין,אוטומט,כסוף
טויוטה קאמרי,1,2007,"24,000₪",2362,"210,000",בנזין,אוטומט,ברונזהמטאלי
פיאט 500,2,2010,"19,500₪",1368,"89,574",בנזין,רובוטית,לבןפנינה
דאצ'יה סנדרו Stepway,1,2021,"73,000₪",898,"25,000",בנזין,אוטומט,אפורמטאלי
טויוטה קאמרי,2,2008,"35,000₪",3456,"230,000",בנזין,אוטומט,זהבמטאלי
פורד פוקוס,3,2013,"20,000₪",1596,"173,000",בנזין,אוטומט,לבן
סובארו B3 האצ'בק,5,2010,"17,000₪",1498,"136,000",בנזין,אוטומט,אפור
מרצדס C-Class,3,2014,"115,000₪",1595,"198,000",בנזין,אוטומט,לבןמטאלי
פיג'ו 3008,1,2019,"110,000₪",1499,"87,000",דיזל,אוטומט,לבן
מרצדס C-Class,1,2021,"435,000₪",1991,"34,000",בנזין,אוטומט,לבןפנינה
סקודה ראפיד,2,2017,"46,000₪",1197,"140,000",בנזין,אוטומט,אפורמטאלי
מרצדס C-Class Taxi,4,2011,לאצויןמחיר,2143,"584,000",דיזל,אוטומט,לבן
מרצדס C-Class,1,2016,"135,000₪",1595,"117,000",בנזין,אוטומט,לבן
מאזדה 3,2,2008,לאצויןמחיר,1598,"380,000",בנזין,אוטומט,בז'
סובארו פורסטר,1,2021,"199,000₪",2498,"6,000",בנזין,אוטומט,שחור
טויוטה קורולה הייבריד,2,2020,"120,000₪",1798,"29,500",בנזין,אוטומט,לבןפנינה
אאודי A7,4,2011,"100,000₪",2995,"200,000",בנזין,אוטומט,כחולכההמטאלי
מאזדה 6,3,2013,"54,000₪",1998,"129,000",בנזין,אוטומט,לבןמטאלי
פולקסווגן קראפטר,1,2021,לאצויןמחיר,1968,,טורבודיזל,אוטומט,לבן
יונדאי i25,2,2017,"59,000₪",1368,"104,000",בנזין,אוטומט,שחור
רנו מגאן גראנד קופה,2,2018,"89,000₪",1461,"50,000",דיזל,אוטומט,לבןפנינה
מרצדס E-Class,0,2022,לאצויןמחיר,1991,,היברידיחשמל/בנזין,אוטומט,לבןשנהב
ניסאן מיקרה,3,2017,"39,900₪",1198,"85,000",בנזין,אוטומט,אפורעכבר
קיה ספורטז',2,2016,"82,900₪",1591,"85,000",בנזין,אוטומט,לבןפנינה
ב.מ.וו X4,1,2020,"349,000₪",1995,"26,000",דיזל,אוטומט,לבן
מיצובישי אאוטלנדר,2,2016,"102,500₪",1998,"155,000",בנזין,אוטומט,שחור
סיטרואן ברלינגו דור 2 (2008-2019),1,2016,"55,000₪",1560,"257,000",דיזל,ידנית,לבן
פיג'ו 3008,1,2019,"126,000₪",1598,"39,000",בנזין,אוטומט,שחורמטאלי
פולקסווגן חיפושית החדשה,1,2015,"80,000₪",1197,"90,000",בנזין,אוטומט,שחור
רנו מגאן גראנד קופה,1,2021,"120,000₪",1461,"30,000",דיזל,אוטומט,שחור
סובארו XV,1,2017,"95,000₪",1995,"120,000",בנזין,אוטומט,אפורמטאלי
רנו קפצ'ור,2,2016,"58,000₪",1197,"44,000",בנזין,אוטומט,בז'מטאלי
וולוו S60,2,2014,"51,000₪",1969,"167,000",בנזין,אוטומט,תכלתמטאלי
שברולט אימפלה,2,2015,"94,000₪",3564,,,,
רנו קליאו דור 4 (2013-2019),2,2016,"35,000₪",898,,,,
יונדאי איוניק,1,2018,"95,000₪",1580,,,,
מרצדס E-Class,1,2019,לאצויןמחיר,1991,,,,
מרצדס C-Class קופה,1,2020,"340,000₪",1497,,,,
רנו פלואנס,2,2014,"25,000₪",1461,"262,000",דיזל,אוטומט,לבן
ב.מ.וו סדרה 1,2,2015,"105,000₪",1598,"57,000",בנזין,אוטומט,לבן
טויוטה אוריס הייבריד,1,2017,"70,000₪",1798,"158,000",בנזין,אוטומט,לבן
סיאט ארונה,1,2019,"110,000₪",999,"52,000",בנזין,אוטומט,שחור
מרצדס S-Class,1,2020,"745,000₪",2996,"9,750",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
קיה קרניבל,1,2018,"181,000₪",3342,"32,000",בנזין,אוטומט,שחור
סקודה סופרב (עד 2019) ,2,2014,"40,000₪",1798,"133,000",בנזין,אוטומט,
מרצדס CLA,0,2021,"309,000₪",1332,,היברידיחשמל/בנזין,אוטומט,שמפניה
אופל אדם,2,2018,"52,000₪",1398,"67,000",בנזין,אוטומט,אפורמטאלי
קיה קרניבל,4,2008,"20,000₪",2656,"300,000",בנזין,אוטומט,כסוף
לנד רובר ריינג' רובר איווק,0,2020,"299,000₪",1997,,בנזין,אוטומט,שחור
אאודי Q7,2,2010,"79,900₪",2967,"165,000",דיזל,אוטומט,לבן
מיצובישי טרייטון / L200 4X4,1,2021,לאצויןמחיר,2442,,טורבודיזל,אוטומט,לבן
שברולט אורלנדו,1,2017,"69,000₪",1362,"84,000",בנזין,אוטומט,כסוף
דייהטסו סיריון,2,2009,550₪לחודש,1298,"116,000",בנזין,אוטומט,תכלתמטאלי
דייהטסו סיריון,3,2010,"16,500₪",1298,"180,000",בנזין,אוטומט,שחורמטאלי
מיצובישי אאוטלנדר,1,2017,"103,900₪",1998,"86,000",בנזין,אוטומט,לבן
יונדאי סנטה פה,2,2019,לאצויןמחיר,2151,1,דיזל,אוטומט,כסוף
רנו קדגא'ר,1,2016,"59,900₪",1461,"160,000",דיזל,אוטומט,אפורמטאלי
לנד רובר ריינג' רובר איווק,0,2022,לאצויןמחיר,1498,,היברידיחשמל/בנזין,אוטומט,שחור
פיאט דובלו,1,2016,"35,000₪",1248,"126,000",דיזל,ידנית,לבן
מרצדס E-Class,0,2022,"439,900₪",1991,,היברידיחשמל/בנזין,אוטומט,לבןמטאלי
מאזדה 3,3,2009,"20,000₪",1598,"207,000",בנזין,אוטומט,כחול
מרצדס E-Class,2,2020,"315,000₪",1991,"41,000",היברידיחשמל/בנזין,אוטומט,לבןפנינה
פולקסווגן ג'טה,2,2017,"56,000₪",1197,"118,000",בנזין,אוטומט,אפורמטאלי
מרצדס S-Class,3,2013,"198,000₪",2987,"180,000",דיזל,אוטומט,שחור
סקודה סופרב (עד 2019) ,2,2019,"128,000₪",1798,"105,000",בנזין,אוטומט,אפורמטאלי
אאודי A3,1,2019,"170,000₪",1395,"55,000",היברידיחשמל/בנזין,אוטומט,לבן
רנו קליאו דור 4 (2013-2019),1,2014,"27,850₪",1197,"198,000",בנזין,אוטומט,לבן
אאודי A4,1,2020,"221,600₪",1984,"27,000",בנזין,אוטומט,שחור
יונדאי איוניק,3,2017,"77,000₪",1580,"138,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,2,2017,"73,000₪",1798,"118,000",בנזין,אוטומט,שחורמטאלי
פורד S-מקס,1,2011,"44,900₪",1999,"112,000",בנזין,אוטומט,לבן
מאזדה 6,5,2008,"11,500₪",1999,"239,000",בנזין,אוטומט,קרם
סקודה אוקטביה,2,2015,"47,900₪",1968,"260,000",דיזל,אוטומט,לבן
ב.מ.וו סדרה 3,2,2012,"32,000₪",1995,"335,000",בנזין,אוטומט,לבן
סקודה סופרב (עד 2019) ,1,2018,"135,000₪",1798,"75,000",בנזין,אוטומט,אפורמטאלי
סיטרואן C3,1,2020,"83,570₪",1199,"39,755",בנזין,אוטומט,ירוקבהיר
סיאט לאון,1,2021,"157,000₪",1498,"6,000",בנזין,אוטומט,לבן
מרצדס S-Class,1,2019,"670,000₪",2996,"32,000",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
קיה נירו הייבריד,1,2017,"78,000₪",1580,,,,
רנו מאסטר קצר/בינוני,1,2016,לאצויןמחיר,2299,"310,000",דיזל,ידנית,לבן
רנו קליאו אסטייט,2,2017,לאצויןמחיר,1197,"51,000",בנזין,אוטומט,אפורמטאלי
די.אס / DS DS5,2,2017,"76,900₪",1598,"62,000",בנזין,אוטומט,אפור
סיאט לאון,5,2014,"80,000₪",1798,"115,000",בנזין,אוטומט,לבןפנינה
שברולט אימפלה,2,2016,"79,900₪",3564,"189,000",בנזין,אוטומט,שחור
רנו קפצ'ור,2,2015,לאצויןמחיר,1197,"83,000",בנזין,אוטומט,כתום
ב.מ.וו סדרה 5,2,2012,"118,900₪",2979,"90,000",בנזין,אוטומט,אפורמטאלי
מרצדס GL Class,3,2008,"87,950₪",2987,"297,000",דיזל,טיפטרוניק,לבןפנינה
מיצובישי אאוטלנדר,4,2013,לאצויןמחיר,2268,"185,000",דיזל,אוטומט,שחור
לנד רובר ריינג' רובר ספורט,0,2022,לאצויןמחיר,2997,,דיזל,אוטומט,שחורמטאלי
פיאט דוקאטו ארוך,1,2021,לאצויןמחיר,2287,,טורבודיזל,ידנית,לבן
מיצובישי אטראז',2,2014,"21,000₪",1193,"209,000",בנזין,אוטומט,לבן
פורד מוסטנג,0,2022,לאצויןמחיר,2261,,בנזין,אוטומט,לבן
פיאט דוקאטו ארוך,1,2017,לאצויןמחיר,2287,"125,000",טורבודיזל,ידנית,לבן
רנו מאסטר קצר/בינוני,1,2019,2500₪לחודש,2299,"118,000",דיזל,ידנית,לבן
סקודה סופרב (עד 2019) ,2,2014,"40,000₪",1798,"133,000",בנזין,אוטומט,
מרצדס CLA,0,2021,"309,000₪",1332,,היברידיחשמל/בנזין,אוטומט,שמפניה
רנו מגאן גראנד קופה,2,2019,"98,000₪",1461,"30,700",דיזל,אוטומט,לבןשנהב
סקודה סופרב (עד 2019) ,2,2018,"110,000₪",1798,"111,000",בנזין,אוטומט,אפורעכבר
הונדה סיוויק האצ'בק החדשה,2,2013,"43,110₪",1798,"132,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 3008,1,2020,"162,000₪",1499,"44,500",דיזל,אוטומט,לבן
רנו מגאן אסטייט/ גראנד טור,3,2015,"25,900₪",1461,"196,000",דיזל,אוטומט,לבן
רנו קליאו דור 4 (2013-2019),3,2015,"79,000₪",1618,"110,000",בנזין,אוטומט,לבןפנינה
מאזדה 5,3,2010,"25,000₪",1999,"200,000",בנזין,אוטומט,לבן
ניסאן מיקרה,1,2015,"27,000₪",1198,"73,000",בנזין,ידנית,לבן
קיה קרניבל,1,2017,"155,000₪",3342,"85,869",בנזין,אוטומט,כסוף
סקודה אוקטביה,4,2012,"22,750₪",1197,"272,000",בנזין,ידנית,אפור
ב.מ.וו סדרה 5,1,2016,"140,000₪",1997,"138,500",בנזין,אוטומט,לבןפנינה
מרצדס CLA,3,2015,"138,000₪",1595,"114,000",בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,3,2016,"61,000₪",1598,"67,000",בנזין,אוטומט,לבןפנינה
סקודה אוקטביה ספייס,3,2015,"47,000₪",1197,156,בנזין,אוטומט,כסוף
אאודי A3,1,2019,"157,000₪",1498,"27,000",בנזין,אוטומט,אפורמטאלי
ב.מ.וו סדרה 5,1,2021,"519,000₪",2998,"4,500",בנזין,אוטומט,אפורמטאלי
מרצדס C-Class,1,2008,"70,000₪",2997,"107,000",בנזין,אוטומט,אפורמטאלי
סובארו B4,2,2007,"11,000₪",1994,"211,000",בנזין,אוטומט,אפורמטאלי
פורשה מקאן,2,2015,"276,000₪",2967,"83,000",דיזל,אוטומט,אפורעכבר
מאזדה 3,2,2018,1100₪לחודש,1998,"34,000",בנזין,אוטומט,לבן
לקסוס GS300H,1,2018,"200,000₪",2494,"76,000",בנזין,אוטומט,אפורמטאלי
