Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
מרצדס GLK Class,2,2011,"95,000₪",2996,"110,000",בנזין,אוטומט,שחור
לנד רובר ריינג' רובר ספורט,2,2016,"360,000₪",2993,"78,000",דיזל,אוטומט,לבן
סיטרואן ברלינגו דור 2 (2008-2019),2,2017,"54,000₪",1560,"148,000",דיזל,ידנית,לבן
מיצובישי טרייטון / L200 4X4,1,2017,"154,900₪",2442,"121,000",דיזל,אוטומט,לבן
שברולט קרוז,2,2014,לאצויןמחיר,1598,"143,000",בנזין,אוטומט,כחולמטאלי
מרצדס E-Class קופה / קבריולט,1,2021,"474,900₪",1991,"16,869",בנזין,אוטומט,שחורמטאלי
ב.מ.וו סדרה 7,1,2021,לאצויןמחיר,2998,"18,000",היברידיחשמל/בנזין,אוטומט,לבןפנינה
קיה נירו הייבריד,1,2018,1200₪לחודש,1580,"86,291",בנזין,אוטומט,כסוף
טויוטה פריוס פלוס הייבריד,1,2018,"99,000₪",1798,"139,000",בנזין,אוטומט,כסוף
רנו קליאו דור 4 (2013-2019),1,2018,"57,600₪",1197,"77,325",בנזין,אוטומט,לבן
סוזוקי אלטו,1,2013,"14,900₪",996,"162,000",בנזין,ידנית,לבן
רנו קליאו דור 4 (2013-2019),2,2016,לאצויןמחיר,1197,"112,000",בנזין,אוטומט,אדוםמטאלי
שברולט ספארק,3,2011,"12,500₪",1206,"190,000",בנזין,ידנית,שחורמטאלי
פיג'ו 3008,1,2020,"125,900₪",1499,"78,277",דיזל,אוטומט,אפורעכבר
טויוטה יאריס,1,2015,"63,000₪",1329,"85,000",בנזין,אוטומט,לבן
אאודי Q8,1,2019,"475,000₪",2967,"70,000",דיזל,אוטומט,לבןמטאלי
שברולט סילברדו 2500,0,2021,2190₪לחודש,6600,,טורבודיזל,אוטומט,
מאזדה 3,1,2020,לאצויןמחיר,1998,"14,500",בנזין,אוטומט,אפור
סוזוקי SX4 קרוסאובר,1,2020,"113,000₪",1373,"48,000",בנזין,אוטומט,לבןמטאלי
פורד אקספלורר,2,2019,"249,000₪",3497,"55,000",בנזין,אוטומט,אפורמטאלי
טויוטה RAV4 הייבריד,1,2016,"115,000₪",2494,"120,000",בנזין,אוטומט,שחורמטאלי
מאזדה CX-5,1,2015,"94,000₪",1998,"84,000",בנזין,אוטומט,אפורמטאלי
ב.מ.וו X5,2,2017,לאצויןמחיר,1997,"43,000",היברידיחשמל/בנזין,אוטומט,לבןפנינה
סובארו פורסטר,1,2017,"105,000₪",1995,"114,000",בנזין,אוטומט,לבןפנינה
פורד אקספלורר,1,2016,"186,000₪",3497,"69,000",בנזין,אוטומט,אפורעכבר
קאדילק XT5,1,2018,"240,000₪",3649,"48,000",בנזין,אוטומט,כחולכההמטאלי
קיה ספורטז',2,2016,"79,000₪",1591,"120,000",בנזין,אוטומט,לבן
מיצובישי אקליפס קרוס,1,2021,"145,000₪",1499,"9,500",בנזין,אוטומט,ברונזה
ג'יפ / Jeep גרנד צ'ירוקי,1,2020,"293,000₪",3604,"32,000",בנזין,אוטומט,אפורעכבר
לנד רובר ריינג' רובר איווק,3,2015,"175,000₪",1999,"100,000",בנזין,אוטומט,לבן
אאודי Q3,4,2013,"75,000₪",1984,"115,000",בנזין,אוטומט,כסוף
ניסאן קשקאי,1,2021,"150,000₪",1332,"14,000",בנזין,אוטומט,אפורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,4,2010,"73,000₪",3700,"158,500",בנזין,אוטומט,כסוףמטאלי
סוזוקי ג'ימני,5,2009,"57,000₪",1328,"165,000",בנזין,אוטומט,כחולכההמטאלי
וולוו XC40,1,2020,"210,000₪",1477,"7,000",בנזין,אוטומט,לבן
טויוטה לנד קרוזר קצר,3,2011,"180,000₪",2982,"190,000",דיזל,אוטומט,לבןפנינה
ג'יפ / Jeep גרנד צ'ירוקי,1,2021,"385,000₪",3604,"21,000",בנזין,אוטומט,שחורמטאלי
סקודה אוקטביה,2,2013,"32,000₪",1390,"208,000",בנזין,אוטומט,כסוף
מאזדה 3,1,2018,לאצויןמחיר,1998,"50,000",בנזין,אוטומט,אפור
שברולט ספארק,2,2014,"10,000₪",995,"161,000",בנזין,ידנית,שחור
ב.מ.וו סדרה 3,0,2021,1173₪לחודש,1988,,היברידיחשמל/בנזין,אוטומט,שחורמטאלי
לקסוס GS450H,4,2011,"59,000₪",3456,"215,000",בנזין,אוטומט,לבןפנינה
טויוטה יאריס,1,2016,"69,900₪",1329,"94,358",בנזין,אוטומט,לבן
רנו קדגא'ר,1,2017,"79,000₪",1461,"119,000",דיזל,אוטומט,לבןפנינה
